Time,Grams,Blood Accumulated,Water Accumulated,Delta,Delta of Delta
1.5572e+09,116.9,110.66,117.65,0.4717,0.28302
1.5572e+09,117.3,110.85,117.85,0.18868,-0.28302
1.5572e+09,118,111.32,118.36,0.4717,0.28302
1.5572e+09,118,111.32,118.36,0,-0.4717
1.5572e+09,118.2,111.51,118.56,0.18868,0.18868
1.5572e+09,118.3,111.6,118.66,0.09434,-0.09434
1.5572e+09,118.9,112.17,119.26,0.56604,0.4717
1.5572e+09,118.8,112.36,119.46,0.18868,-0.37736
1.5572e+09,118.9,112.36,119.46,0,-0.18868
1.5572e+09,119,112.36,119.46,0,0
1.5572e+09,119.1,112.64,119.76,0.28302,0.28302
1.5572e+09,123.2,116.23,123.57,3.5849,3.3019
1.5572e+09,124,116.98,124.37,0.75472,-2.8302
1.5572e+09,122.6,116.98,124.37,0,-0.75472
1.5572e+09,123.1,116.98,124.37,0,0
1.5572e+09,122.8,116.98,124.37,0,0
1.5572e+09,121.9,116.98,124.37,0,0
1.5572e+09,122.2,116.98,124.37,0,0
1.5572e+09,122.3,116.98,124.37,0,0
1.5572e+09,123.6,116.98,124.37,0,0
1.5572e+09,122.6,116.98,124.37,0,0
1.5572e+09,123.2,116.98,124.37,0,0
1.5572e+09,123.2,116.98,124.37,0,0
1.5572e+09,125.2,118.11,125.58,1.1321,1.1321
1.5572e+09,125.6,118.49,125.98,0.37736,-0.75472
1.5572e+09,126.2,119.06,126.58,0.56604,0.18868
1.5572e+09,126.8,119.62,127.18,0.56604,-1.4211e-14
1.5572e+09,127.3,120.09,127.68,0.4717,-0.09434
1.5572e+09,128.1,120.85,128.49,0.75472,0.28302
1.5572e+09,129,121.7,129.39,0.84906,0.09434
1.5572e+09,129,124.25,132.1,2.5472,1.6981
1.5572e+09,130.1,124.25,132.1,0,-2.5472
1.5572e+09,129.4,124.25,132.1,0,0
1.5572e+09,129.7,124.25,132.1,0,0
1.5572e+09,129.8,124.25,132.1,0,0
1.5572e+09,130.2,124.25,132.1,0,0
1.5572e+09,131.6,124.25,132.1,0,0
1.5572e+09,130.9,124.25,132.1,0,0
1.5572e+09,130.5,124.25,132.1,0,0
1.5572e+09,131.1,124.25,132.1,0,0
1.5572e+09,130.9,124.25,132.1,0,0
1.5572e+09,131.6,124.25,132.1,0,0
1.5572e+09,130.7,124.25,132.1,0,0
1.5572e+09,131.5,124.25,132.1,0,0
1.5572e+09,131.1,124.25,132.1,0,0
1.5572e+09,131.2,124.25,132.1,0,0
1.5572e+09,130.8,124.25,132.1,0,0
1.5572e+09,130.7,124.25,132.1,0,0
1.5572e+09,130.8,124.25,132.1,0,0
1.5572e+09,131,124.25,132.1,0,0
1.5572e+09,131.4,124.25,132.1,0,0
1.5572e+09,132.3,124.81,132.7,0.56604,0.56604
1.5572e+09,132.3,125,132.9,0.18868,-0.37736
1.5572e+09,132.8,125.28,133.2,0.28302,0.09434
1.5572e+09,133,125.47,133.4,0.18868,-0.09434
1.5572e+09,133.1,125.75,133.7,0.28302,0.09434
1.5572e+09,133.3,125.85,133.8,0.09434,-0.18868
1.5572e+09,133.2,125.85,133.8,0,-0.09434
1.5572e+09,133.2,125.85,133.8,0,0
1.5572e+09,133.1,125.85,133.8,0,0
1.5572e+09,133.4,125.85,133.8,0,0
1.5572e+09,133.6,126.04,134,0.18868,0.18868
1.5572e+09,131.6,126.04,134,0,-0.18868
1.5572e+09,135.2,127.55,135.61,1.5094,1.5094
1.5572e+09,132.3,127.55,135.61,0,-1.5094
1.5572e+09,134.2,127.55,135.61,0,0
1.5572e+09,133.7,127.55,135.61,0,0
1.5572e+09,133.4,127.55,135.61,0,0
1.5572e+09,133.3,127.55,135.61,0,0
1.5572e+09,133.7,127.55,135.61,0,0
1.5572e+09,134.4,127.55,135.61,0,0
1.5572e+09,134.1,127.55,135.61,0,0
1.5572e+09,133.9,127.55,135.61,0,0
1.5572e+09,133.4,127.55,135.61,0,0
1.5572e+09,133.5,127.55,135.61,0,0
1.5572e+09,133.9,127.55,135.61,0,0
1.5572e+09,134.1,127.55,135.61,0,0
1.5572e+09,134.7,127.55,135.61,0,0
1.5572e+09,135.4,127.74,135.81,0.18868,0.18868
1.5572e+09,135.7,128.02,136.11,0.28302,0.09434
1.5572e+09,135.8,128.11,136.21,0.09434,-0.18868
1.5572e+09,135.3,128.11,136.21,0,-0.09434
1.5572e+09,135.7,128.11,136.21,0,0
1.5572e+09,135.7,129.62,137.81,1.5094,1.5094
1.5572e+09,136.2,129.62,137.81,0,-1.5094
1.5572e+09,136.3,129.62,137.81,0,0
1.5572e+09,136.1,129.62,137.81,0,0
1.5572e+09,138,130.28,138.52,0.66038,0.66038
1.5572e+09,136.6,130.28,138.52,0,-0.66038
1.5572e+09,137.2,130.28,138.52,0,0
1.5572e+09,137.5,130.28,138.52,0,0
