Blood Accumulated,Delta,Delta of Delta
104.05,0.18868,-0.28302
104.24,0.18868,0
104.43,0.18868,0
104.52,0.09434,-0.09434
104.52,0,-0.09434
104.52,0,0
104.52,0,0
104.52,0,0
104.8,0.28302,0.28302
104.8,0,-0.28302
104.8,0,0
104.8,0,0
104.8,0,0
105.37,0.56604,0.56604
105.37,0,-0.56604
105.37,0,0
105.37,0,0
105.37,0,0
105.37,0,0
105.37,0,0
105.37,0,0
105.37,0,0
106.6,1.2264,1.2264
107.16,0.56604,-0.66036
107.54,0.37736,-0.18868
108.01,0.4717,0.09434
108.11,0.09434,-0.37736
108.67,0.56604,0.4717
108.86,0.18868,-0.37736
108.86,0,-0.18868
109.14,0.28302,0.28302
109.14,0,-0.28302
109.14,0,0
109.14,0,0
109.14,0,0
109.62,0.4717,0.4717
109.9,0.28302,-0.18868
109.9,0,-0.28302
111.23,1.3322,1.3322
112.73,1.4973,0.16512
113.25,0.51861,-0.97867
113.56,0.31033,-0.20828
113.91,0.35416,0.043827
114.74,0.83166,0.4775
114.99,0.24448,-0.58718
115.33,0.34729,0.1028
115.65,0.31127,-0.036019
116.29,0.64767,0.3364
117.77,1.4787,0.83106
118.3,0.52873,-0.95
118.6,0.2962,-0.23253
118.66,0.060109,-0.23609
118.69,0.033805,-0.026304
118.72,0.033892,8.7119e-05
118.8,0.076632,0.04274
118.98,0.17472,0.09809
119.28,0.30112,0.1264
119.28,0,-0.30112
119.36,0.084914,0.084914
119.36,0,-0.084914
119.36,0,0
119.37,0.010575,0.010575
119.37,0,-0.010575
119.56,0.1879,0.1879
119.75,0.18662,-0.0012766
119.75,0,-0.18662
119.75,0,0
119.75,0,0
119.75,0,0
119.75,0,0
121.26,1.5153,1.5153
125.34,4.078,2.5627
125.81,0.47287,-3.6051
126.99,1.1719,0.69899
135.57,8.5856,7.4138
137.32,1.7493,-6.8364
137.95,0.63227,-1.117
138.02,0.062693,-0.56957
138.12,0.10528,0.04259
138.23,0.11228,0.0069968
138.3,0.064646,-0.047634
138.45,0.1571,0.092457
138.51,0.053268,-0.10384
138.6,0.09434,0.041072
140.3,1.6981,1.6038
140.87,0.56604,-1.1321
140.87,0,-0.56604
141.15,0.28302,0.28302
141.15,0,-0.28302
141.53,0.37736,0.37736
141.53,0,-0.37736
141.53,0,0
141.53,0,0
141.53,0,0
141.53,0,0
141.72,0.18868,0.18868
141.72,0,-0.18868
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.72,0,0
141.81,0.09434,0.09434
142.28,0.4717,0.37736
142.56,0.28302,-0.18868
142.56,0,-0.28302
142.56,0,0
142.56,0,0
142.94,0.37736,0.37736
143.79,0.84906,0.4717
144.26,0.4717,-0.37736
144.73,0.4717,0
145.39,0.66038,0.18868
145.58,0.18868,-0.4717
145.77,0.18868,0
145.87,0.09434,-0.09434
145.87,0,-0.09434
145.87,0,0
145.87,0,0
145.87,0,0
145.87,0,0
145.87,0,0
145.87,0,0
145.87,0,0
146.06,0.18868,0.18868
147.47,1.4151,1.2264
147.47,0,-1.4151
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
147.47,0,0
148.6,1.1321,1.1321
152.75,4.1509,3.0188
157.85,5.0943,0.9434
159.64,1.7925,-3.3018
161.15,1.5094,-0.2831
161.43,0.28302,-1.2264
162.19,0.75472,0.4717
162.38,0.18868,-0.56604
163.6,1.2264,1.0377
164.55,0.9434,-0.283
164.83,0.28302,-0.66038
164.83,0,-0.28302
164.83,0,0
164.83,0,0
164.83,0,0
164.83,0,0
165.02,0.18868,0.18868
165.02,0,-0.18868
165.02,0,0
165.49,0.4717,0.4717
165.49,0,-0.4717
165.49,0,0
165.58,0.09434,0.09434
166.72,1.1321,1.0378
167,0.28302,-0.84908
167.66,0.66038,0.37736
167.66,0,-0.66038
167.66,0,0
167.66,0,0
168.04,0.37736,0.37736
168.41,0.37736,0
168.79,0.37736,0
168.79,0,-0.37736
168.79,0,0
168.79,0,0
168.79,0,0
168.79,0,0
169.36,0.56604,0.56604
169.83,0.4717,-0.09434
170.21,0.37736,-0.09434
170.21,0,-0.37736
170.68,0.4717,0.4717
170.77,0.09434,-0.37736
171.15,0.37736,0.28302
171.15,0,-0.37736
171.15,0,0
171.15,0,0
171.15,0,0
171.72,0.56604,0.56604
173.22,1.5094,0.94336
173.79,0.56604,-0.94336
173.79,0,-0.56604
173.79,0,0
174.17,0.37736,0.37736
174.36,0.18868,-0.18868
174.92,0.56604,0.37736
175.39,0.4717,-0.09434
175.87,0.4717,0
176.53,0.66038,0.18868
176.53,0,-0.66038
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.53,0,0
176.72,0.18868,0.18868
177.19,0.4717,0.28302
177.38,0.18868,-0.28302
177.75,0.37736,0.18868
177.75,0,-0.37736
177.75,0,0
177.75,0,0
177.85,0.09434,0.09434
177.85,0,-0.09434
177.85,0,0
177.94,0.09434,0.09434
178.04,0.09434,0
178.7,0.66038,0.56604
178.89,0.18868,-0.4717
178.89,0,-0.18868
178.89,0,0
178.89,0,0
178.89,0,0
179.36,0.4717,0.4717
179.36,0,-0.4717
179.45,0.09434,0.09434
179.92,0.4717,0.37736
179.92,0,-0.4717
179.92,0,0
180.39,0.4717,0.4717
181.24,0.84906,0.37736
182.28,1.0377,0.18864
182.85,0.56604,-0.47166
183.32,0.4717,-0.09434
183.98,0.66038,0.18868
184.45,0.4717,-0.18868
184.45,0,-0.4717
184.45,0,0
184.55,0.09434,0.09434
184.55,0,-0.09434
184.55,0,0
184.55,0,0
184.55,0,0
184.55,0,0
184.55,0,0
184.55,0,0
185.11,0.56604,0.56604
186.06,0.9434,0.37736
